case,n_customers,algorithm,time_ms,cost,valid_capacity,vehicles
cvrplib_Vrp-All_B-n51-k7,50,Sweep,0.934299998334609,1268.8303291979278,True,8
cvrplib_Vrp-All_B-n52-k7,51,Greedy,0.5199999868636951,1132.9643224590227,True,7
cvrplib_Vrp-All_B-n52-k7,51,Clarke-Wright,1.1932000052183867,764.8989122998329,True,7
cvrplib_Vrp-All_B-n52-k7,51,Sweep,1.2525999918580055,863.7175222977762,True,7
cvrplib_Vrp-All_B-n56-k7,55,Greedy,0.5834000039612874,1253.9672619336363,True,7
cvrplib_Vrp-All_B-n56-k7,55,Clarke-Wright,1.4187999913701788,733.7413703734462,True,7
cvrplib_Vrp-All_B-n56-k7,55,Sweep,1.2562000047182664,836.315713510193,True,7
cvrplib_Vrp-All_B-n57-k7,56,Greedy,0.6049999938113615,1977.8294910393493,True,8
cvrplib_Vrp-All_B-n57-k7,56,Clarke-Wright,1.772000003256835,1239.7800906399218,True,8
cvrplib_Vrp-All_B-n57-k7,56,Sweep,1.7463999975007027,1295.7094225214103,True,8
cvrplib_Vrp-All_B-n57-k9,56,Greedy,0.6332000048132613,1960.656878589338,True,9
cvrplib_Vrp-All_B-n57-k9,56,Clarke-Wright,1.6776000120444223,1653.4238667610882,True,9
cvrplib_Vrp-All_B-n57-k9,56,Sweep,1.022600001306273,1878.848634468823,True,9
cvrplib_Vrp-All_B-n63-k10,62,Greedy,0.7848999957786873,2067.066170527514,True,10
cvrplib_Vrp-All_B-n63-k10,62,Clarke-Wright,1.827100000809878,1598.1796223145293,True,10
cvrplib_Vrp-All_B-n63-k10,62,Sweep,1.2013999948976561,1874.5840633541468,True,11
cvrplib_Vrp-All_B-n64-k9,63,Greedy,0.741700001526624,1266.6998825370952,True,9
cvrplib_Vrp-All_B-n64-k9,63,Clarke-Wright,2.120500008459203,921.5561387606826,True,10
cvrplib_Vrp-All_B-n64-k9,63,Sweep,1.26599999202881,969.6995924634411,True,10
cvrplib_Vrp-All_B-n66-k9,65,Greedy,0.9274000040022656,1645.4791807691868,True,9
cvrplib_Vrp-All_B-n66-k9,65,Clarke-Wright,2.1040999999968335,1416.417279846979,True,10
cvrplib_Vrp-All_B-n66-k9,65,Sweep,1.4367999974638224,1437.2640746432296,True,10
cvrplib_Vrp-All_B-n67-k10,66,Greedy,0.879899991559796,1527.4093212150033,True,10
cvrplib_Vrp-All_B-n67-k10,66,Clarke-Wright,2.1385000000009313,1099.9470201522818,True,11
cvrplib_Vrp-All_B-n67-k10,66,Sweep,1.5030000067781657,1204.0849456040053,True,10
cvrplib_Vrp-All_B-n68-k9,67,Greedy,1.174200006062165,1690.6588892770346,True,9
cvrplib_Vrp-All_B-n68-k9,67,Clarke-Wright,2.193799999076873,1317.7707318946182,True,9
cvrplib_Vrp-All_B-n68-k9,67,Sweep,1.4312999992398545,1517.5510848527197,True,10
cvrplib_Vrp-All_B-n78-k10,77,Greedy,1.139800006058067,1755.027641111366,True,10
cvrplib_Vrp-All_B-n78-k10,77,Clarke-Wright,2.737699993303977,1264.5551044581205,True,10
cvrplib_Vrp-All_B-n78-k10,77,Sweep,2.3479999945266172,1448.0440325606025,True,11
cvrplib_Vrp-All_E-n101-k14,100,Greedy,1.9089999987045303,1610.906841385627,True,14
cvrplib_Vrp-All_E-n101-k14,100,Clarke-Wright,4.891400007181801,1139.0713090065872,True,14
cvrplib_Vrp-All_E-n101-k14,100,Sweep,2.74840000201948,1231.4733016058337,True,15
cvrplib_Vrp-All_E-n101-k8,100,Greedy,1.856000002590008,1174.361152226612,True,8
cvrplib_Vrp-All_E-n101-k8,100,Clarke-Wright,6.009600008837879,886.8278165618908,True,8
cvrplib_Vrp-All_E-n101-k8,100,Sweep,7.745700000668876,909.8436721296899,True,8
